name,BOOM 2 Wireless Bluetooth Speaker - IndigoCPE,BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - BlackCPE,Bose® - Soundlink® Color Bluetooth Speaker II - Coral RedCPE,Boytone - 2500W 2.1-Ch. Home Theater System - Black DiamondCPE,Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - BlackCPE,Chant Mini Portable Bluetooth Wireless Speaker (Navy)CPE,Chant Sport BT Portable Audio System (Black)CPE,Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof SpeakerCPE,"DreamWave - Tremor Portable Bluetooth Speaker - Green,BlackCPE",ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange)CPE,ECOXGEAR ECOXBT Waterproof Bluetooth SpeakerCPE,"EcoJam Waterproof Bluetooth Speaker, BlackCPE",EcoXGear Ecostone Bluetooth SpeakerCPE,Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black)CPE,FUGOO - Sport XL Portable Bluetooth Speaker - Black/WhiteCPE,Get Up Stand Bluetooth Home Audio SystemCPE,HMDX Dynamite Portable Splashproof Wireless Speaker (Gray)CPE,Harman Kardon One Portable Bluetooth Speaker BlackCPE,House of MarleyCPE,JBL Clip2 Portable SpeakerCPE,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal)CPE,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon GreenCPE",New OEM Braven LUX Pearl Portable HD Wireless Bluetooth Speaker Power BankCPE,Outdoor Tech Buckshot Pro Bluetooth SpeakerCPE,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""CPE",SRS-XB10 Bluetooth Speaker (White)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Blue)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Red)CPE,SRS-XB40 Bluetooth Speaker (Black)CPE,SRS-XB40 Bluetooth Speaker (Blue)CPE,SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black)CPE,Sony - XB20 Portable Bluetooth Speaker - BlueCPE,Sony - XB7 Extra Bass Audio System with Bluetooth - BlackCPE,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal blackCPE,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black)CPE,Sony Ultra-Portable Bluetooth SpeakerCPE,Tough Portable Bluetooth Speaker (Black and Silver)CPE,h.ear go Wireless Speaker (Lime Yellow)CPE,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)CPE,iLive - ISBW216 Wireless Gnome Outdoor Speaker - MultiCPE,iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal)CPE
"EcoJam Waterproof Bluetooth Speaker, Black",-0.07,0.43,0.59,-0.86,0.43,0.11,0.11,-11.41,0.11,0.93,0.21,-3.57,-3.61,-3.16,1.44,-0.04,-0.04,-0.01,-0.49,-0.34,0.84,1.44,2.44,0.39,0.11,1.16,1.07,0.82,0.41,1.22,-0.57,0.68,-5.01,3.37,-0.08,0.69,-1.52,3.49,-0.71,0.11,-1.07
EcoXGear Ecostone Bluetooth Speaker,0.14,-0.79,-1.13,1.66,-0.79,-0.23,-0.23,-3.66,-0.23,-1.79,-0.41,-2.02,-1.96,-2.44,-2.77,0.08,0.08,0.02,0.94,0.65,-1.63,-2.77,-4.71,-0.77,-0.23,-2.25,-2.09,-1.56,-0.79,-2.35,1.09,-1.3,9.64,-6.49,0.16,-1.34,2.91,-6.74,1.37,-0.23,2.05
Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black),1.53,0.65,-0.26,-1.22,0.65,-1.03,-1.03,1.4,-1.03,-0.4,0.92,0.79,1.77,1.22,-1.77,-0.27,-0.27,-2.63,-0.98,-0.21,-3.64,-1.77,-0.17,0.28,-1.03,-1.39,-0.57,-0.66,1.9,0.49,-0.98,-0.3,0.32,-1.29,-0.56,-0.25,-2.83,-1.09,-0.18,-1.03,-1.85
FUGOO - Sport XL Portable Bluetooth Speaker - Black/White,-3.73,-0.5,-1.89,-2.12,-0.5,-1.95,-1.95,1.29,-1.95,-1.03,-0.86,-0.32,-0.04,-0.22,-4.5,-1.46,-1.46,-0.23,-1.27,-2.13,0.74,-4.5,-1.35,-0.14,-1.95,-3.0,0.34,-0.04,-2.36,-2.65,-1.7,-2.5,-3.79,0.25,-2.62,-0.82,0.86,0.39,-0.66,-1.95,-1.99
Get Up Stand Bluetooth Home Audio System,3.66,2.44,2.57,1.78,2.44,3.81,3.81,3.3,3.81,2.27,1.21,2.4,1.37,2.19,4.02,4.12,4.12,3.31,3.83,2.98,-0.84,4.02,3.39,2.17,3.81,3.52,1.88,0.18,3.02,2.62,0.78,2.66,4.1,1.44,2.57,1.56,1.23,1.18,4.15,3.81,1.03
HMDX Dynamite Portable Splashproof Wireless Speaker (Gray),0.47,2.08,0.96,1.09,2.08,0.27,0.27,-0.29,0.27,1.23,0.91,0.5,-0.26,0.32,0.19,0.06,0.06,0.41,0.18,0.62,1.89,0.19,0.66,0.75,0.27,0.3,0.89,1.13,0.45,0.76,0.92,-0.43,-1.0,1.74,1.09,1.37,0.86,1.66,-0.04,0.27,1.27
Harman Kardon One Portable Bluetooth Speaker Black,0.99,-0.29,0.16,0.78,-0.29,1.34,1.34,-3.88,1.34,-1.16,-2.63,-1.14,-0.94,-1.15,-2.2,0.06,0.06,-0.94,0.84,1.71,-4.66,-2.2,-0.23,-1.85,1.34,3.56,0.34,-0.96,1.0,-0.47,-0.48,2.72,1.3,-0.23,-0.42,-2.53,-0.33,-0.3,-0.57,1.34,-0.43
House of Marley,0.31,2.3,-2.36,-2.41,2.3,-3.41,-3.41,-2.01,-3.41,-0.63,1.24,0.97,0.26,0.8,-11.53,0.31,0.31,1.42,-2.81,-2.58,1.84,-11.53,-7.84,2.4,-3.41,-7.3,2.17,1.27,-1.76,-2.23,-2.72,-5.07,-11.48,6.8,-1.49,1.8,2.17,6.89,1.26,-3.41,-2.69
JBL Clip2 Portable Speaker,-0.72,0.14,-0.27,-1.05,0.14,-0.4,-0.4,-0.22,-0.4,-0.27,-0.11,-0.2,-0.35,-0.22,-0.96,-0.31,-0.31,-0.15,-0.37,-0.74,0.26,-0.96,-0.32,-0.14,-0.4,-0.59,-0.05,-0.06,-1.08,-0.57,-1.05,-1.1,-1.66,0.72,-0.37,-0.14,0.08,0.71,-0.26,-0.4,-1.09
JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),0.93,-1.29,-0.12,0.48,-1.29,1.38,1.38,0.97,1.38,-0.4,-0.77,0.36,1.6,0.51,1.29,1.23,1.23,1.34,2.11,0.67,-2.34,1.29,-0.4,0.01,1.38,1.0,-0.05,-0.59,0.97,0.46,0.46,2.25,7.83,-4.68,0.19,-1.12,0.7,-4.59,2.01,1.38,0.21
"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",1.97,-1.29,0.52,0.63,-1.29,1.21,1.21,2.12,1.21,1.03,0.13,0.99,2.05,1.12,2.92,0.98,0.98,0.77,1.39,0.94,-1.03,2.92,1.03,0.74,1.21,1.75,0.5,0.35,1.94,1.91,0.9,2.3,5.83,-3.0,0.63,0.36,0.02,-2.81,1.17,1.21,0.66
New OEM Braven LUX Pearl Portable HD Wireless Bluetooth Speaker Power Bank,-1.36,0.06,2.15,-0.75,0.06,-0.77,-0.77,-1.29,-0.77,-0.26,0.51,-0.35,1.97,2.38,-1.63,-0.31,-0.31,-0.56,-0.96,0.7,-0.36,-1.63,5.77,0.22,-0.77,3.05,-0.23,-0.94,-0.12,-0.3,3.58,4.86,-1.86,-2.45,-1.04,-0.39,-0.33,-2.54,-0.49,-0.77,-0.84
Outdoor Tech Buckshot Pro Bluetooth Speaker,1.08,-1.22,0.07,-0.48,-1.22,-0.27,-0.27,3.34,-0.27,6.21,6.52,0.31,1.3,0.53,2.34,0.12,0.12,-0.14,-0.49,-0.05,0.31,2.34,1.46,5.81,-0.27,-0.26,-0.47,0.27,0.07,0.17,0.38,0.1,-0.08,-0.81,-0.21,5.78,-0.49,-0.59,-0.07,-0.27,0.02
"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""",-0.66,1.29,-0.26,-1.38,1.29,-0.34,-0.34,0.39,-0.34,1.11,0.91,0.22,-0.34,0.17,-0.91,0.1,0.1,-0.02,-1.09,-0.32,2.58,-0.91,0.57,0.53,-0.34,-0.97,1.36,0.82,-0.9,-0.51,-1.13,-1.34,-3.15,1.04,-0.53,1.19,1.52,0.99,-0.66,-0.34,-1.11
SRS-XB10 Bluetooth Speaker (White),-0.99,-0.86,-1.23,-3.14,-0.86,-3.46,-3.46,2.01,-3.46,-1.77,0.7,-1.56,-1.64,-1.54,-2.97,-1.48,-1.48,-2.48,-5.11,-2.52,1.2,-2.97,0.29,-1.46,-3.46,-3.64,-2.14,0.04,-3.66,-3.8,-2.7,-4.45,-19.54,8.71,-2.39,0.9,-2.62,9.04,-3.11,-3.46,-2.81
SRS-XB2 Portable Bluetooth Wireless Speaker (Blue),-2.22,4.95,-2.05,0.44,4.95,1.15,1.15,-7.14,1.15,2.5,0.21,3.43,-0.07,2.68,-8.85,1.15,1.15,3.26,3.28,0.11,0.19,-8.85,-7.75,4.8,1.15,-1.0,6.32,-0.68,3.57,3.95,-1.7,-0.11,11.78,-2.62,0.05,-0.67,4.92,-3.3,3.47,1.15,-0.8
SRS-XB2 Portable Bluetooth Wireless Speaker (Red),0.07,1.58,10.92,15.27,1.58,-0.1,-0.1,-0.5,-0.1,-0.03,11.63,0.14,-0.54,-0.04,-0.43,-0.21,-0.21,0.15,-0.12,2.73,19.97,-0.43,0.09,-0.39,-0.1,-0.38,0.6,16.44,-0.18,0.02,15.16,-0.91,-9.12,6.34,11.07,9.82,0.82,6.41,-0.26,-0.1,16.53
SRS-XB40 Bluetooth Speaker (Black),0.13,-0.01,0.05,-3.6,-0.01,0.1,0.1,0.04,0.1,0.1,0.03,0.06,0.07,0.06,0.24,0.06,0.06,0.05,0.1,-1.74,-0.02,0.24,0.06,0.06,0.1,0.14,0.05,0.02,-2.46,0.19,-3.62,-2.16,-1.16,0.81,0.08,0.04,-0.02,0.85,0.07,0.1,-3.85
SRS-XB40 Bluetooth Speaker (Blue),-2.48,1.29,0.23,4.19,1.29,-0.61,-0.61,-3.62,-0.61,0.63,-1.18,-1.54,-2.17,-1.4,-1.24,-2.44,-2.44,-1.62,-1.15,1.28,1.48,-1.24,0.17,-1.38,-0.61,1.28,-0.05,0.18,-0.71,-1.08,4.42,0.81,0.32,-1.77,0.04,-0.21,0.29,-2.01,-3.16,-0.61,4.61
SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black),-4.5,2.73,-2.57,-1.66,2.73,-1.36,-1.36,-2.4,-1.36,2.54,1.37,1.36,-2.22,0.13,-2.34,-1.37,-1.37,-0.6,-1.58,-2.84,3.88,-2.34,-3.07,2.27,-1.36,-3.32,3.58,0.88,0.82,2.21,-3.66,-4.29,-4.77,3.99,-1.26,1.3,-1.35,3.95,-1.59,-1.36,-1.89
Sony - XB20 Portable Bluetooth Speaker - Blue,2.53,-2.66,-0.18,-0.5,-2.66,1.45,1.45,2.66,1.45,-1.82,-0.19,-0.11,1.05,-0.12,2.77,1.72,1.72,0.2,0.49,1.03,-5.91,2.77,1.72,-1.13,1.45,4.39,-2.77,-2.79,1.09,0.25,-0.96,3.52,-0.92,-0.3,-0.71,-2.23,-1.23,0.03,0.71,1.45,-1.03
Sony - XB7 Extra Bass Audio System with Bluetooth - Black,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,-7.63,4.7,No Effect,No Effect,No Effect,4.89,No Effect,No Effect,No Effect
Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,0.92,-1.15,-0.22,-0.48,-1.15,0.23,0.23,1.18,0.23,-0.95,-3.21,-2.73,-2.28,-2.64,0.77,0.53,0.53,-0.17,-0.29,0.17,-2.27,0.77,0.63,-3.49,0.23,-1.85,-1.36,-1.15,-2.68,-3.7,-0.63,-1.46,-2.13,0.62,-0.52,-0.84,-0.7,0.78,-0.0,0.23,-0.66
Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black),-3.12,-5.88,-4.78,-5.53,-5.88,-4.86,-4.86,-0.0,-4.86,-1.62,-1.66,-0.54,-0.54,-0.66,-1.67,-4.18,-4.18,-5.23,-5.78,-4.38,-0.41,-1.67,-3.04,-0.27,-4.86,-5.07,-1.33,-2.23,-1.79,-0.91,-5.17,-3.99,-9.36,3.11,-4.92,-1.31,-6.52,3.05,-5.12,-4.86,-5.31
Sony Ultra-Portable Bluetooth Speaker,0.38,-5.88,0.4,0.36,-5.88,0.52,0.52,2.12,0.52,-0.24,3.84,-0.69,2.23,0.11,1.82,0.94,0.94,-0.48,0.68,-0.31,-3.54,1.82,0.17,1.06,0.52,1.85,-2.66,-0.25,0.53,-0.41,1.03,3.85,3.82,-5.08,-0.29,0.4,-2.75,-4.58,1.15,0.52,-0.18
Tough Portable Bluetooth Speaker (Black and Silver),-0.27,-1.22,-0.37,-0.92,-1.22,0.63,0.63,1.26,0.63,-2.44,-1.53,-1.37,1.17,-0.96,2.77,0.55,0.55,-0.09,0.94,-0.76,-3.95,2.77,1.89,-2.08,0.63,-1.0,-1.93,-0.66,-1.05,-2.14,-0.84,1.09,0.52,-2.4,-0.71,-2.15,-3.24,-2.06,0.88,0.63,-1.54
h.ear go Wireless Speaker (Lime Yellow),-1.06,2.87,-1.57,-1.89,2.87,-0.4,-0.4,-1.9,-0.4,-1.88,0.19,0.4,-0.91,0.17,-1.34,-0.82,-0.82,0.3,0.1,-0.46,-4.38,-1.34,-0.78,0.31,-0.4,1.24,-3.11,-5.37,-0.22,0.41,-1.97,0.29,2.42,-0.02,-1.04,-3.29,1.52,-0.37,-0.31,-0.4,-1.72
iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),0.5,4.81,1.53,1.93,4.81,0.31,0.31,-1.61,0.31,3.11,2.14,1.61,-0.67,1.15,-1.2,0.01,0.01,0.88,0.25,1.03,4.23,-1.2,0.17,2.41,0.31,0.37,2.82,2.23,1.53,2.4,1.42,-1.22,-1.72,3.91,2.02,2.96,2.21,3.66,-0.09,0.31,2.21
iLive - ISBW216 Wireless Gnome Outdoor Speaker - Multi,1.97,-0.14,1.82,1.97,-0.14,1.97,1.97,0.75,1.97,0.86,-0.26,-0.06,0.41,-0.05,4.69,0.68,0.68,0.18,1.56,1.98,-0.81,4.69,3.27,-0.6,1.97,3.7,-0.26,0.47,1.5,1.44,1.84,2.75,3.79,-1.24,1.57,0.19,-0.41,-1.19,0.13,1.97,1.95
iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal),-8.29,-2.15,-6.14,-6.03,-2.15,-0.54,-0.54,-3.98,-0.54,0.14,-1.4,1.85,1.07,2.6,-7.61,0.64,0.64,1.6,1.21,-4.34,-4.4,-7.61,-5.91,2.78,-0.54,-1.71,4.49,-4.74,2.08,2.38,-5.89,1.9,11.58,-10.29,-5.89,-4.77,0.33,-10.14,2.61,-0.54,-7.71
